"pcd","pcd2","pcds","oslaua","msoa11","lsoa11","oa11","casward","statsward","osward"
"MK184AD","MK18 4AD","MK18 4AD","E07000177","E02005931","E01028483","E00145131","38UBHC","38UBHC","E05006534"
"MK184AH","MK18 4AH","MK18 4AH","E07000177","E02005931","E01028483","E00145131","38UBHC","38UBHC","E05006534"
"MK184AJ","MK18 4AJ","MK18 4AJ","E07000177","E02005931","E01028483","E00145131","38UBHC","38UBHC","E05006534"
"MK184AL","MK18 4AL","MK18 4AL","E07000177","E02005931","E01028483","E00145131","38UBHC","38UBHC","E05006534"
"MK184AN","MK18 4AN","MK18 4AN","E07000177","E02005931","E01028483","E00145131","38UBHC","38UBHC","E05006534"
"MK184AP","MK18 4AP","MK18 4AP","E07000177","E02005931","E01028483","E00145131","38UBHC","38UBHC","E05006534"
"MK184AQ","MK18 4AQ","MK18 4AQ","E07000177","E02005931","E01028483","E00145131","38UBHC","38UBHC","E05006534"
"MK184AR","MK18 4AR","MK18 4AR","E07000177","E02005931","E01028483","E00145131","38UBHC","38UBHC","E05006534"
"MK184AS","MK18 4AS","MK18 4AS","E07000177","E02005931","E01028483","E00145131","38UBHC","38UBHC","E05006534"
"MK184AT","MK18 4AT","MK18 4AT","E07000177","E02005931","E01028483","E00145131","38UBHC","38UBHC","E05006534"
"MK184AU","MK18 4AU","MK18 4AU","E07000177","E02005931","E01028483","E00169035","38UBHC","38UBHC","E05006534"
"MK184AW","MK18 4AW","MK18 4AW","E07000177","E02005931","E01028483","E00145131","38UBHC","38UBHC","E05006534"
"MK184AX","MK18 4AX","MK18 4AX","E07000177","E02005931","E01028483","E00169035","38UBHC","38UBHC","E05006534"
"MK184AY","MK18 4AY","MK18 4AY","E07000177","E02005931","E01028483","E00169035","38UBHC","38UBHC","E05006534"
"MK184AZ","MK18 4AZ","MK18 4AZ","E07000177","E02005931","E01028483","E00169035","38UBHC","38UBHC","E05006534"
"MK184BE","MK18 4BE","MK18 4BE","E07000177","E02005931","E01028483","E00145131","38UBHC","38UBHC","E05006534"
"MK184BG","MK18 4BG","MK18 4BG","E07000177","E02005931","E01028483","E00145131","38UBHC","38UBHC","E05006534"
"MK184BH","MK18 4BH","MK18 4BH","E07000177","E02005931","E01028483","E00145131","38UBHC","38UBHC","E05006534"
"MK184BJ","MK18 4BJ","MK18 4BJ","E07000177","E02005931","E01028483","E00145131","38UBHC","38UBHC","E05006534"
"MK184BQ","MK18 4BQ","MK18 4BQ","E07000177","E02005931","E01028483","E00145131","38UBHC","38UBHC","E05006534"
"MK184BW","MK18 4BW","MK18 4BW","E07000177","E02005931","E01028483","E00145131","38UBHC","38UBHC","E05006534"
"MK184DH","MK18 4DH","MK18 4DH","E07000177","E02005931","E01028483","E00145131","38UBHC","38UBHC","E05006534"
"NN135RF","NN13 5RF","NN13 5RF","E07000177","E02005931","E01028483","E00169035","38UBHC","38UBHC","E05006534"
"NN135RG","NN13 5RG","NN13 5RG","E07000177","E02005931","E01028483","E00169035","38UBHC","38UBHC","E05006534"
"NN135RH","NN13 5RH","NN13 5RH","E07000177","E02005931","E01028484","E00145130","38UBHC","38UBHC","E05006534"
"NN135RJ","NN13 5RJ","NN13 5RJ","E07000177","E02005931","E01028483","E00169035","38UBHC","38UBHC","E05006534"
"NN135RL","NN13 5RL","NN13 5RL","E07000177","E02005931","E01028483","E00169035","38UBHC","38UBHC","E05006534"
"NN135RN","NN13 5RN","NN13 5RN","E07000177","E02005931","E01028483","E00169035","38UBHC","38UBHC","E05006534"
"NN135RP","NN13 5RP","NN13 5RP","E07000177","E02005931","E01028483","E00169035","38UBHC","38UBHC","E05006534"
"NN135RR","NN13 5RR","NN13 5RR","E07000177","E02005931","E01028483","E00169035","38UBHC","38UBHC","E05006534"
"NN135RS","NN13 5RS","NN13 5RS","E07000177","E02005931","E01028483","E00169035","38UBHC","38UBHC","E05006534"
"NN135RT","NN13 5RT","NN13 5RT","E07000177","E02005931","E01028483","E00169035","38UBHC","38UBHC","E05006534"
"NN135RW","NN13 5RW","NN13 5RW","E07000177","E02005931","E01028483","E00169035","38UBHC","38UBHC","E05006534"
"NN135SN","NN13 5SN","NN13 5SN","E07000177","E02005931","E01028484","E00145130","38UBHC","38UBHC","E05006534"
"NN135SP","NN13 5SP","NN13 5SP","E07000177","E02005931","E01028484","E00145130","38UBHC","38UBHC","E05006534"
"NN135SR","NN13 5SR","NN13 5SR","E07000177","E02005931","E01028484","E00145130","38UBHC","38UBHC","E05006534"
"NN135SS","NN13 5SS","NN13 5SS","E07000177","E02005931","E01028484","E00145130","38UBHC","38UBHC","E05006534"
"NN135ST","NN13 5ST","NN13 5ST","E07000177","E02005931","E01028484","E00145130","38UBHC","38UBHC","E05006534"
"NN135SW","NN13 5SW","NN13 5SW","E07000177","E02005931","E01028484","E00145130","38UBHC","38UBHC","E05006534"
"NN135SY","NN13 5SY","NN13 5SY","E07000177","E02005931","E01028484","E00145130","38UBHC","38UBHC","E05006534"
"NN135YR","NN13 5YR","NN13 5YR","E07000177","E02005931","E01028483","E00169035","38UBHC","38UBHC","E05006534"
"NN135YS","NN13 5YS","NN13 5YS","E07000177","E02005931","E01028483","E00169035","38UBHC","38UBHC","E05006534"
"OX1 1AA","OX1  1AA","OX1 1AA","E07000178","E02005947","E01028522","E00172573","38UCFW","38UCFW","E05006547"
"OX1 1AB","OX1  1AB","OX1 1AB","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1AD","OX1  1AD","OX1 1AD","E07000178","E02005948","E01028551","E00172585","38UCGF","38UCGF","E05006556"
"OX1 1AE","OX1  1AE","OX1 1AE","E07000178","E02005948","E01028551","E00172585","38UCGF","38UCGF","E05006556"
"OX1 1AF","OX1  1AF","OX1 1AF","E07000178","E02005948","E01028551","E00172585","38UCGF","38UCGF","E05006556"
"OX1 1AG","OX1  1AG","OX1 1AG","E07000178","E02005948","E01028551","E00172587","38UCGF","38UCGF","E05006556"
"OX1 1AH","OX1  1AH","OX1 1AH","E07000178","E02005947","E01028522","E00145307","38UCFW","38UCFW","E05006547"
"OX1 1AJ","OX1  1AJ","OX1 1AJ","E07000178","E02005948","E01028550","E00145449","38UCGF","38UCGF","E05006556"
"OX1 1AL","OX1  1AL","OX1 1AL","E07000178","E02005948","E01028550","E00145438","38UCGF","38UCGK","E05006556"
"OX1 1AN","OX1  1AN","OX1 1AN","E07000178","E02005947","E01028522","E00145307","38UCFW","38UCFW","E05006547"
"OX1 1AP","OX1  1AP","OX1 1AP","E07000178","E02005948","E01028550","E00145449","38UCGF","38UCGF","E05006556"
"OX1 1AQ","OX1  1AQ","OX1 1AQ","E07000178","E02005947","E01028522","E00145417","38UCGD","38UCGD","E05006554"
"OX1 1AR","OX1  1AR","OX1 1AR","E07000178","E02005948","E01028550","E00145449","38UCGF","38UCGF","E05006556"
"OX1 1AS","OX1  1AS","OX1 1AS","E07000178","E02005947","E01028522","E00172573","38UCFW","38UCFW","E05006547"
"OX1 1AT","OX1  1AT","OX1 1AT","E07000178","E02005947","E01028522","E00145307","38UCFW","38UCFW","E05006547"
"OX1 1AU","OX1  1AU","OX1 1AU","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1AW","OX1  1AW","OX1 1AW","E07000178","E02005947","E01028522","E00145308","38UCFW","38UCFW","E05006547"
"OX1 1AX","OX1  1AX","OX1 1AX","E07000178","E02005947","E01028522","E00145307","38UCFW","38UCFW","E05006547"
"OX1 1AY","OX1  1AY","OX1 1AY","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1AZ","OX1  1AZ","OX1 1AZ","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1BA","OX1  1BA","OX1 1BA","E07000178","E02005947","E01028522","E00175318","38UCFW","38UCFW","E05006547"
"OX1 1BB","OX1  1BB","OX1 1BB","E07000178","E02005947","E01028522","E00145307","38UCFW","38UCFW","E05006547"
"OX1 1BD","OX1  1BD","OX1 1BD","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1BE","OX1  1BE","OX1 1BE","E07000178","E02005947","E01028522","E00145307","38UCFW","38UCFW","E05006547"
"OX1 1BF","OX1  1BF","OX1 1BF","E07000178","E02005947","E01028522","E00172573","38UCFW","38UCFW","E05006547"
"OX1 1BG","OX1  1BG","OX1 1BG","E07000178","E02005947","E01028522","E00172573","38UCFW","38UCFW","E05006547"
"OX1 1BH","OX1  1BH","OX1 1BH","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1BJ","OX1  1BJ","OX1 1BJ","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1BL","OX1  1BL","OX1 1BL","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1BN","OX1  1BN","OX1 1BN","E07000178","E02005947","E01028522","E00145417","38UCGD","38UCGD","E05006554"
"OX1 1BP","OX1  1BP","OX1 1BP","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1BQ","OX1  1BQ","OX1 1BQ","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1BS","OX1  1BS","OX1 1BS","E07000178","E02005947","E01028522","E00145417","38UCGD","38UCGD","E05006554"
"OX1 1BT","OX1  1BT","OX1 1BT","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1BU","OX1  1BU","OX1 1BU","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1BW","OX1  1BW","OX1 1BW","E07000178","E02005947","E01028522","E00145308","38UCFW","38UCFW","E05006547"
"OX1 1BX","OX1  1BX","OX1 1BX","E07000178","E02005947","E01028522","E00145417","38UCGD","38UCGD","E05006554"
"OX1 1BY","OX1  1BY","OX1 1BY","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1BZ","OX1  1BZ","OX1 1BZ","E07000178","E02005948","E01028549","E00145437","38UCGF","38UCGF","E05006556"
"OX1 1DA","OX1  1DA","OX1 1DA","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1DB","OX1  1DB","OX1 1DB","E07000178","E02005947","E01028522","E00145417","38UCGD","38UCGD","E05006554"
"OX1 1DD","OX1  1DD","OX1 1DD","E07000178","E02005947","E01028522","E00145308","38UCFW","38UCFW","E05006547"
"OX1 1DE","OX1  1DE","OX1 1DE","E07000178","E02005947","E01028522","E00145417","38UCGD","38UCGD","E05006554"
"OX1 1DF","OX1  1DF","OX1 1DF","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1DG","OX1  1DG","OX1 1DG","E07000178","E02005947","E01028522","E00145417","38UCGD","38UCGD","E05006554"
"OX1 1DH","OX1  1DH","OX1 1DH","E07000178","E02005947","E01028522","E00145307","38UCFW","38UCFW","E05006547"
"OX1 1DJ","OX1  1DJ","OX1 1DJ","E07000178","E02005947","E01028521","E00172575","38UCFW","38UCFW","E05006547"
"OX1 1DL","OX1  1DL","OX1 1DL","E07000178","E02005947","E01028522","E00145417","38UCGD","38UCGD","E05006554"
"OX1 1DP","OX1  1DP","OX1 1DP","E07000178","E02005947","E01028522","E00145417","38UCGD","38UCGD","E05006554"
"OX1 1DQ","OX1  1DQ","OX1 1DQ","E07000178","E02005947","E01028522","E00145417","38UCGD","38UCGD","E05006554"
"OX1 1DR","OX1  1DR","OX1 1DR","E07000178","E02005947","E01028522","E00145308","38UCFW","38UCFW","E05006547"
"OX1 1DS","OX1  1DS","OX1 1DS","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1DT","OX1  1DT","OX1 1DT","E07000178","E02005947","E01028522","E00145308","38UCFW","38UCFW","E05006547"
"OX1 1DW","OX1  1DW","OX1 1DW","E07000178","E02005947","E01028522","E00145308","38UCFW","38UCFW","E05006547"
"OX1 1DX","OX1  1DX","OX1 1DX","E07000178","E02005947","E01028522","E00172573","38UCFW","38UCFW","E05006547"
"OX1 1DY","OX1  1DY","OX1 1DY","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1DZ","OX1  1DZ","OX1 1DZ","E07000178","E02005947","E01028522","E00145417","38UCGD","38UCGD","E05006554"
"OX1 1EA","OX1  1EA","OX1 1EA","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1EB","OX1  1EB","OX1 1EB","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1ED","OX1  1ED","OX1 1ED","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1EE","OX1  1EE","OX1 1EE","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1EF","OX1  1EF","OX1 1EF","E07000178","E02005947","E01028522","E00145417","38UCGD","38UCGD","E05006554"
"OX1 1EG","OX1  1EG","OX1 1EG","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1EH","OX1  1EH","OX1 1EH","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1EJ","OX1  1EJ","OX1 1EJ","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1EL","OX1  1EL","OX1 1EL","E07000178","E02005947","E01028522","E00145307","38UCFW","38UCFW","E05006547"
"OX1 1EN","OX1  1EN","OX1 1EN","E07000178","E02005947","E01028522","E00172573","38UCFW","38UCFW","E05006547"
"OX1 1EP","OX1  1EP","OX1 1EP","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
"OX1 1EQ","OX1  1EQ","OX1 1EQ","E07000178","E02005947","E01028521","E00145303","38UCFW","38UCFW","E05006547"
